Sim_Time,Sim_Hour,Generated_Wh,Consumed_Wh,Battery_SOC_Wh,Footfall,Voltage_V,Current_A,CO2_Saved_g,Cost_Saved,Timestamp
07:00,7.0,0.00,0.00,0.50,2,12.1,0.12,0.00,0.00,2026-09-04 07:00:00
07:15,7.25,0.12,0.10,0.52,4,12.2,0.15,0.05,0.01,2026-09-04 07:15:00
07:30,7.5,0.35,0.30,0.55,5,12.1,0.18,0.14,0.02,2026-09-04 07:30:00
07:45,7.75,0.60,0.55,0.58,8,12.3,0.22,0.24,0.04,2026-09-04 07:45:00
08:00,8.0,1.80,1.20,1.10,35,12.5,0.85,0.72,0.11,2026-09-04 08:00:00
08:15,8.25,3.50,2.00,1.80,38,12.6,1.20,1.40,0.21,2026-09-04 08:15:00
08:30,8.5,5.20,2.90,2.30,30,12.4,1.45,2.08,0.31,2026-09-04 08:30:00
08:45,8.75,6.10,3.60,2.50,15,12.3,0.95,2.44,0.37,2026-09-04 08:45:00
09:00,9.0,7.40,4.50,2.80,28,12.5,1.30,2.96,0.44,2026-09-04 09:00:00
09:15,9.25,8.30,5.30,2.60,40,12.7,1.55,3.32,0.50,2026-09-04 09:15:00
09:30,9.5,9.50,6.10,2.40,32,12.4,1.40,3.80,0.57,2026-09-04 09:30:00
09:45,9.75,10.20,6.80,2.20,18,12.3,1.10,4.08,0.61,2026-09-04 09:45:00
10:00,10.0,11.00,7.40,2.00,25,12.5,1.25,4.40,0.66,2026-09-04 10:00:00
10:15,10.25,11.80,7.80,1.95,30,12.6,1.35,4.72,0.71,2026-09-04 10:15:00
10:30,10.5,12.43,8.21,1.96,28,12.4,1.28,4.97,0.75,2026-09-04 10:30:00
10:45,10.75,13.10,8.65,2.05,33,12.5,1.42,5.24,0.79,2026-09-04 10:45:00
11:00,11.0,14.20,9.10,2.30,36,12.7,1.50,5.68,0.85,2026-09-04 11:00:00
11:15,11.25,15.00,9.55,2.45,42,12.8,1.65,6.00,0.90,2026-09-04 11:15:00
11:30,11.5,16.10,10.00,2.60,45,12.6,1.70,6.44,0.97,2026-09-04 11:30:00
11:45,11.75,17.00,10.40,2.70,40,12.5,1.60,6.80,1.02,2026-09-04 11:45:00
12:00,12.0,18.50,10.90,2.85,48,12.8,1.80,7.40,1.11,2026-09-04 12:00:00
12:15,12.25,19.30,11.30,2.90,44,12.7,1.72,7.72,1.16,2026-09-04 12:15:00
12:30,12.5,20.00,11.70,2.80,35,12.5,1.50,8.00,1.20,2026-09-04 12:30:00
12:45,12.75,20.50,12.00,2.65,22,12.4,1.20,8.20,1.23,2026-09-04 12:45:00
13:00,13.0,21.20,12.40,2.50,18,12.3,1.05,8.48,1.27,2026-09-04 13:00:00
13:15,13.25,21.80,12.75,2.55,20,12.4,1.10,8.72,1.31,2026-09-04 13:15:00
13:30,13.5,22.50,13.10,2.60,25,12.5,1.25,9.00,1.35,2026-09-04 13:30:00
13:45,13.75,23.00,13.40,2.55,22,12.4,1.15,9.20,1.38,2026-09-04 13:45:00
14:00,14.0,24.10,13.80,2.70,38,12.6,1.55,9.64,1.45,2026-09-04 14:00:00
14:15,14.25,25.00,14.20,2.80,42,12.7,1.62,10.00,1.50,2026-09-04 14:15:00
14:30,14.5,25.80,14.55,2.75,35,12.5,1.45,10.32,1.55,2026-09-04 14:30:00
14:45,14.75,26.30,14.85,2.65,28,12.4,1.30,10.52,1.58,2026-09-04 14:45:00
15:00,15.0,27.00,15.20,2.50,20,12.3,1.10,10.80,1.62,2026-09-04 15:00:00
15:15,15.25,27.50,15.50,2.40,15,12.2,0.90,11.00,1.65,2026-09-04 15:15:00
15:30,15.5,27.80,15.75,2.30,12,12.1,0.75,11.12,1.67,2026-09-04 15:30:00
15:45,15.75,28.00,15.90,2.20,8,12.1,0.55,11.20,1.68,2026-09-04 15:45:00
16:00,16.0,28.50,16.10,2.35,30,12.5,1.35,11.40,1.71,2026-09-04 16:00:00
16:15,16.25,29.00,16.40,2.40,32,12.6,1.40,11.60,1.74,2026-09-04 16:15:00
16:30,16.5,29.30,16.65,2.30,22,12.3,1.10,11.72,1.76,2026-09-04 16:30:00
16:45,16.75,29.50,16.80,2.20,14,12.2,0.80,11.80,1.77,2026-09-04 16:45:00
17:00,17.0,29.60,16.90,2.10,8,12.1,0.50,11.84,1.78,2026-09-04 17:00:00
17:15,17.25,29.65,16.95,2.05,5,12.0,0.30,11.86,1.78,2026-09-04 17:15:00
17:30,17.5,29.68,16.98,2.00,3,12.0,0.20,11.87,1.78,2026-09-04 17:30:00
17:45,17.75,29.70,17.00,1.95,2,12.0,0.15,11.88,1.78,2026-09-04 17:45:00
