source,data,ts
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 2.877, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T01:59:50.611692""}",2026-09-05T01:59:50.611692
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 1.5071, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T01:59:55.628106""}",2026-09-05T01:59:55.628106
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 1.2996, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:00.646779""}",2026-09-05T02:00:00.646779
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 1.6906, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:05.563669""}",2026-09-05T02:00:05.563669
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 3.7422, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:10.686305""}",2026-09-05T02:00:10.686305
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 6.9928, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:15.600054""}",2026-09-05T02:00:15.600054
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 8.5776, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:20.614795""}",2026-09-05T02:00:20.614795
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 7.1094, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:25.636252""}",2026-09-05T02:00:25.636252
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 13.5812, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:30.677037""}",2026-09-05T02:00:30.677037
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 10.5795, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:35.565311""}",2026-09-05T02:00:35.565311
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 14.2473, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:40.542928""}",2026-09-05T02:00:40.542928
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 15.2381, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:45.702514""}",2026-09-05T02:00:45.702514
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 8.4218, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:50.622563""}",2026-09-05T02:00:50.622563
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 9.9109, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:00:55.640146""}",2026-09-05T02:00:55.640146
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 12.4173, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:00.650134""}",2026-09-05T02:01:00.650134
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 12.7048, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:05.569103""}",2026-09-05T02:01:05.569103
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 13.5713, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:10.590116""}",2026-09-05T02:01:10.590116
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 13.4081, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:15.604389""}",2026-09-05T02:01:15.604389
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 9.9574, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:20.622722""}",2026-09-05T02:01:20.622722
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 8.3392, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:25.641276""}",2026-09-05T02:01:25.641276
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 4.4928, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:30.577085""}",2026-09-05T02:01:30.577085
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 7.915, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:35.539185""}",2026-09-05T02:01:35.539185
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 6.2765, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:40.799128""}",2026-09-05T02:01:40.799128
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 11.3908, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:45.613565""}",2026-09-05T02:01:45.613565
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 11.0688, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:50.544324""}",2026-09-05T02:01:50.544324
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 8.5125, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:01:55.644667""}",2026-09-05T02:01:55.644667
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 7.5234, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:00.530662""}",2026-09-05T02:02:00.530662
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 8.3502, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:05.584980""}",2026-09-05T02:02:05.584980
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 9.0775, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:10.595229""}",2026-09-05T02:02:10.595229
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 9.2688, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:15.612827""}",2026-09-05T02:02:15.612827
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 6.0478, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:20.629827""}",2026-09-05T02:02:20.629827
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 6.1406, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:25.648451""}",2026-09-05T02:02:25.648451
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 8.7668, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:30.567818""}",2026-09-05T02:02:30.567818
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 11.7929, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:35.683537""}",2026-09-05T02:02:35.683537
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 14.1137, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:40.534388""}",2026-09-05T02:02:40.534388
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 8.9891, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:45.780877""}",2026-09-05T02:02:45.780877
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 17.0153, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:50.553741""}",2026-09-05T02:02:50.553957
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 13.0649, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:02:55.534973""}",2026-09-05T02:02:55.534973
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 9.7482, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:00.567937""}",2026-09-05T02:03:00.567937
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 7.4875, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:05.533064""}",2026-09-05T02:03:05.533064
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 7.6219, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:10.601749""}",2026-09-05T02:03:10.601749
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 5.2382, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:15.540831""}",2026-09-05T02:03:15.540831
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 5.3136, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:20.644040""}",2026-09-05T02:03:20.644040
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 13.4709, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:25.662917""}",2026-09-05T02:03:25.662917
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 15.8641, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:30.572483""}",2026-09-05T02:03:30.572483
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 4, ""device_count_raw"": 4, ""csi_variance"": 4.2808, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:35.554318""}",2026-09-05T02:03:35.554318
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 10.5663, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:40.711130""}",2026-09-05T02:03:40.711130
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 12.7182, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:45.960761""}",2026-09-05T02:03:45.960761
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 3, ""device_count_raw"": 3, ""csi_variance"": 0.9324, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:50.644613""}",2026-09-05T02:03:50.644613
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 5.7513, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:03:55.670815""}",2026-09-05T02:03:55.670815
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 2, ""device_count_raw"": 2, ""csi_variance"": 10.0144, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T02:04:00.737086""}",2026-09-05T02:04:00.737086
